model_id,rmse,mse,mae,rmsle,mean_residual_deviance
GBM_4_AutoML_1_20251213_100624,275.2448819106572,75759.74501801164,163.68631575054482,,75759.74501801164
GBM_grid_1_AutoML_1_20251213_100624_model_5,278.87550543651923,77771.54753247407,165.07960101081224,,77771.54753247407
GBM_3_AutoML_1_20251213_100624,286.02402235401473,81809.7413635699,172.01725460096114,,81809.7413635699
GBM_2_AutoML_1_20251213_100624,295.745575240486,87465.44527432598,178.26512341640648,,87465.44527432598
GBM_1_AutoML_1_20251213_100624,303.0491842634503,91838.80808274265,183.8405996279936,,91838.80808274265
GBM_grid_1_AutoML_1_20251213_100624_model_2,306.4505143894346,93911.91776954908,174.0993524056617,,93911.91776954908
GBM_5_AutoML_1_20251213_100624,312.9654754541651,97947.3888262516,187.713043715124,,97947.3888262516
GBM_grid_1_AutoML_1_20251213_100624_model_4,316.6307613661746,100255.03904332344,202.41817587778527,,100255.03904332344
GBM_grid_1_AutoML_1_20251213_100624_model_1,354.0389224204544,125343.55858863654,209.80285548804045,,125343.55858863654
DRF_1_AutoML_1_20251213_100624,361.21994753806575,130479.85049940296,203.7668837696785,0.1727552504532341,130479.85049940296
XRT_1_AutoML_1_20251213_100624,372.3282312799714,138628.31180807189,236.88788905636213,0.1907463933437724,138628.31180807189
GBM_grid_1_AutoML_1_20251213_100624_model_3,479.43444906615673,229857.39095136925,353.0796907748359,,229857.39095136925
DeepLearning_grid_1_AutoML_1_20251213_100624_model_1,591.1124086646394,349413.8796773116,392.8162424026236,,349413.8796773116
DeepLearning_1_AutoML_1_20251213_100624,631.2593947075952,398488.4234065995,429.3947917791412,,398488.4234065995
GLM_1_AutoML_1_20251213_100624,2007.6756149623025,4030761.374914258,1759.8852518122958,1.0231870379649677,4030761.374914258
